tam_entrada, resultado, tempo_usuario, tempo_sistema
663, 43, 0.0390310, 0.0000000
664, 43, 0.0392370, 0.0000000
665, 43, 0.0380590, 0.0000000
666, 43, 0.0357850, 0.0000000
667, 43, 0.0359340, 0.0000000
668, 43, 0.0391450, 0.0000000
669, 43, 0.0360310, 0.0000000
670, 43, 0.0389240, 0.0000000
671, 43, 0.0390380, 0.0000000
672, 43, 0.0364560, 0.0000000
673, 43, 0.0371420, 0.0000000
674, 43, 0.0410280, 0.0000000
675, 43, 0.0414290, 0.0000000
676, 43, 0.0395950, 0.0000000
677, 43, 0.0369780, 0.0000000
678, 43, 0.0371040, 0.0000000
679, 43, 0.0416000, 0.0000000
680, 43, 0.0426990, 0.0000000
681, 43, 0.0406420, 0.0000000
682, 43, 0.0374920, 0.0000000
683, 43, 0.0375890, 0.0000000
684, 43, 0.0406340, 0.0000000
685, 43, 0.0477340, 0.0000000
686, 43, 0.0446600, 0.0000000
687, 43, 0.0431170, 0.0000000
688, 43, 0.0466040, 0.0000000
689, 43, 0.0462450, 0.0000000
690, 43, 0.0447130, 0.0000000
691, 43, 0.0455930, 0.0000000
692, 43, 0.0445630, 0.0000000
693, 43, 0.0474160, 0.0000000
694, 43, 0.0478570, 0.0000000
695, 43, 0.0436060, 0.0000000
696, 43, 0.0401390, 0.0000000
697, 43, 0.0451500, 0.0000000
698, 43, 0.0421800, 0.0000000
699, 43, 0.0427710, 0.0000000
700, 43, 0.0477680, 0.0000000
701, 43, 0.0437520, 0.0000000
702, 43, 0.0476440, 0.0000000
703, 43, 0.0499180, 0.0000000
704, 43, 0.0449190, 0.0000000
705, 43, 0.0490850, 0.0000000
706, 43, 0.0477320, 0.0000000
707, 43, 0.0452450, 0.0000000
708, 43, 0.0412100, 0.0000000
709, 43, 0.0442220, 0.0000000
710, 43, 0.0445540, 0.0000000
711, 43, 0.0486060, 0.0000000
712, 43, 0.0451620, 0.0000000
713, 43, 0.0457050, 0.0000000
714, 43, 0.0443570, 0.0000000
715, 43, 0.0468950, 0.0000000
716, 43, 0.0430030, 0.0000000
717, 43, 0.0449180, 0.0000000
718, 44, 0.0457490, 0.0000000
719, 44, 0.0503060, 0.0000000
720, 44, 0.0507170, 0.0000000
721, 44, 0.0457200, 0.0000000
722, 44, 0.0479120, 0.0000000
723, 44, 0.0466660, 0.0000000
724, 44, 0.0474270, 0.0000000
725, 44, 0.0448640, 0.0000000
726, 44, 0.0471660, 0.0000000
727, 44, 0.0477710, 0.0000000
728, 44, 0.0486830, 0.0000000
